id,vendeur,client,age_client,produit,categorie,quantite,prix_paye
2590,TOUATI Abderahmane,AWZGMMUU KUOUBX,48,P16,C17,81,4704236.271466953
2591,LAIHEM Said,XOCAIKSUF BAFNHC,45,P78,C79,346,2791306.986667081
2592,BOUDJELOUAH Issam,TSMJKKVQR ZUMSIWM,32,P66,C67,32,6674098.520193595
2593,LAIHEM Said,CCGUAKFYW TJKGWFVWO,24,P13,C14,60,2068484.3585846643
2594,AGOUILAL riadh,ERHVKAZ ZLNHH,23,P52,C53,255,4825867.853852552
2595,AIT-AISSA Salim,FQOJDYHWA BWZUWPQ,40,P16,C17,380,7975676.493354031
2596,TOUATI Abderahmane,XGZESR HZUYMN,28,P56,C57,13,1468025.1000565125
2597,ALLAM Lamine,YZMDUZM GIDULSF,48,P9,C10,230,5818231.02896387
2598,AGOUILAL riadh,YLEGAY AKPHFFNLL,44,P8,C9,382,8029725.392059118
2599,LAIHEM Said,TXNWK AODQMT,62,P75,C76,150,56670.085744239404
2600,AGOUILAL riadh,ORVVGYKQ HLGRZWDVS,26,P43,C44,268,6490648.770469383
2601,ALLAM Lamine,EHAEU MSRTT,65,P48,C49,74,9627200.222624127
2602,MOHAMMEDI Asma,IZRGZWX QSNCQVQ,51,P53,C54,400,2134742.8492792803
2603,AIT-AISSA Salim,MHUTZFWI LGTHYRNBZ,53,P65,C66,197,9397796.234025063
2604,TOUATI Abderahmane,HFLLXWOG XYEYLBGCK,39,P65,C66,114,2704051.295326478
2605,BADREDDINE Manel,VFALIE WLSZWTX,22,P41,C42,252,1698865.196560905
2606,AGOUILAL riadh,ZQRRXEF ORRTJINXO,43,P19,C20,156,7174976.522990005
2607,TAIR Karim,YQXZB YLDVBW,55,P17,C18,238,9064126.243864097
2608,AGOUILAL riadh,OFDOACS OCVFCUUS,31,P45,C46,43,2282366.2615235946
2609,BADREDDINE Manel,QBXVRYZ MQRWBZE,45,P30,C31,100,1319201.3996484596
2610,TAIR Karim,NMNFWOJU EVEWUCL,62,P63,C64,325,9803621.902040327
2611,AIT-AISSA Salim,HHKKA VAKUAOUOR,60,P19,C20,16,3319945.6946831523
2612,ALLAM Lamine,ZDNAQP LLQRSGQ,37,P83,C84,355,8035302.231202864
2613,AIT-AISSA Salim,OEMFC FZKDENYFK,36,P60,C61,393,6217779.883391565
2614,MOHAMMEDI Asma,QYYUFH WZIZTKE,21,P85,C86,110,2073674.164366319
2615,BADREDDINE Manel,MJETKBFX MPTOKQ,56,P13,C14,48,7529885.706037985
2616,BOUDJELOUAH Issam,EXCDVEJ UFROX,45,P0,C1,282,9713235.278908478
2617,AGOUILAL riadh,YMUKTCFHR QAAPBG,41,P11,C12,10,6099382.632905448
2618,TAIR Karim,JLCVWMOL YQIPZEMOZ,30,P35,C36,169,3439198.155516656
2619,AIT-AISSA Salim,UITFK WZWCF,25,P39,C40,235,9540158.121662997
2620,BOUDJELOUAH Issam,ZXHSWOL RRDETYDM,30,P7,C8,153,4717391.280476218
2621,TAIR Karim,NZUBQ XEJTQ,54,P32,C33,26,6340386.099779673
2622,LAIHEM Said,PBUUJ ABAEXMYQ,33,P63,C64,46,592627.1768804697
2623,ALLAM Lamine,JWCHJ ALZUIMQ,49,P73,C74,310,4208483.504165423
2624,AGOUILAL riadh,PYAQP RNZJLH,48,P55,C56,165,6626570.882547836
2625,ALLAM Lamine,DAXQDW IVDUKH,53,P82,C83,122,7112538.06054417
2626,BADREDDINE Manel,YGXNLKTZ AUZGLPNIK,50,P67,C68,343,9547606.5530154
2627,TAIR Karim,GMRJUZEGC EHQZIY,58,P76,C77,126,7532933.46943299
2628,ALLAM Lamine,CPHYEPCD CQLHDGD,33,P50,C51,292,5435432.386386238
2629,BOUDJELOUAH Issam,CWOGNR LNHOKYI,54,P67,C68,328,8455793.526066516
2630,ALLAM Lamine,HMRSPYDBJ UQWEAPKMJ,57,P81,C82,201,8346172.057361634
2631,ALLAM Lamine,ZLLXWOG JFUOYQR,30,P7,C8,7,9796731.27684691
2632,BADREDDINE Manel,WRTVFXY PGRYLORHB,25,P32,C33,130,169931.1455748178
2633,AIT-AISSA Salim,QKICMNG NXNPHK,40,P74,C75,312,4855524.121807703
2634,AIT-AISSA Salim,KMSJOKS XTOOYRM,27,P8,C9,222,3851191.67430435
2635,MOHAMMEDI Asma,AXAURPGIV XOCDMK,55,P20,C21,119,7099846.0779055115
2636,TOUATI Abderahmane,DUEYA RDTJXLYG,57,P77,C78,144,8710376.637425553
2637,AGOUILAL riadh,GNXBED KMNUYVKXI,52,P87,C88,292,7059157.94751494
2638,TAIR Karim,MRCQDHIWC JPWHNLB,21,P47,C48,388,1148338.3030416127
2639,MOHAMMEDI Asma,SXYICNCH FNVOW,58,P17,C18,137,3566549.327473199
2640,LAIHEM Said,EADHSVTMP GQZDTTWK,27,P21,C22,52,3222676.013036459
2641,TOUATI Abderahmane,ZFLVA TWLSMPBZU,55,P27,C28,341,6287251.177306739
2642,AIT-AISSA Salim,YKGXXRQW AQIZO,23,P31,C32,102,3188930.845682847
2643,AGOUILAL riadh,EOABLUQZ PAKMN,34,P79,C80,165,4657843.75503382
2644,AIT-AISSA Salim,DVLSKAVNY MWGJI,57,P36,C37,256,9543236.700985424
2645,AGOUILAL riadh,AZKZRDZ RCAAIBBM,50,P42,C43,45,9763369.09051576
2646,MOHAMMEDI Asma,IYHWZHPEC XPHXLOV,65,P2,C3,165,4825694.271711812
2647,BADREDDINE Manel,XKXKPCVTP BHYYZB,51,P78,C79,344,3393297.517580876
2648,BADREDDINE Manel,BTYNHXUWA MYUZR,29,P2,C3,165,9814384.25820324
2649,TOUATI Abderahmane,TVKTQYDSF SBLOWMG,37,P82,C83,40,5476669.297313115
2650,BOUDJELOUAH Issam,WYWWR HDFYYPU,55,P14,C15,135,6943546.0190450745
2651,MOHAMMEDI Asma,HOBXYCF GKKVRUAH,38,P0,C1,147,8601644.234325172
2652,MOHAMMEDI Asma,AYWZOHJ ONYNYPABS,53,P69,C70,374,1980515.1452223742
2653,AGOUILAL riadh,PVGFR XQJSISC,38,P86,C87,93,2556159.5246551377
2654,LAIHEM Said,RZOLEFVXX WTFVT,29,P11,C12,326,9694831.941212645
2655,TOUATI Abderahmane,FVMYYPP XVZBGS,21,P89,C90,85,4233935.198907513
2656,TAIR Karim,IMHAKHHHY WUZMMF,59,P86,C87,166,6833357.875719425
2657,BADREDDINE Manel,ORZWNMO LRXQV,65,P30,C31,200,1104355.6858663054
2658,ALLAM Lamine,SGRKKUPV FHVQYD,21,P35,C36,302,4946013.560494623
2659,ALLAM Lamine,TKNTSMU CYEEA,32,P73,C74,326,5644503.998237785
2660,BOUDJELOUAH Issam,GLZLKW MTKOFQCS,53,P35,C36,129,1978516.4396788257
2661,BADREDDINE Manel,BMFMUQLT EEXUYT,57,P79,C80,30,6288454.817480083
2662,AGOUILAL riadh,OMMQUV ZSQEIUHF,45,P58,C59,191,3681276.7640468027
2663,BADREDDINE Manel,BJYEG LTCQXOCM,60,P50,C51,315,9716685.869514193
2664,LAIHEM Said,VWDUOZXW HZCAZT,65,P52,C53,157,4449709.979408465
2665,TOUATI Abderahmane,OLRUYVYP CYGCPWROW,26,P44,C45,14,4682236.680569882
2666,AGOUILAL riadh,WENRHPG FHDOXBEEP,40,P19,C20,61,8567138.026588503
2667,MOHAMMEDI Asma,YAMUF VSNVDC,22,P21,C22,146,9382988.09882808
2668,TOUATI Abderahmane,FPKHUI TLKXJFY,54,P31,C32,131,9478714.004807496
2669,TAIR Karim,BEDOT VWSJRGEA,41,P75,C76,396,5057323.114378046
2670,ALLAM Lamine,WFOEJWGOD KZQBVPRMH,43,P3,C4,257,9180479.684128484
2671,TAIR Karim,PIMLKFVVS JHUODZW,39,P9,C10,154,2344390.176099556
2672,LAIHEM Said,WSARMCK YMSPZYZK,49,P74,C75,72,7542766.609118693
2673,TOUATI Abderahmane,ZAHQYE EOEMJHEWO,54,P2,C3,88,2161498.374844132
2674,AGOUILAL riadh,BYMBWJEQ KQKDN,21,P80,C81,288,6442243.153376371
2675,MOHAMMEDI Asma,UEUCYK DTWBKNH,65,P18,C19,325,5187642.890763082
2676,BOUDJELOUAH Issam,FXCALZU MWMSHNXMK,24,P60,C61,119,9366380.917838058
2677,AGOUILAL riadh,PQDZYPFYB RRJET,26,P51,C52,8,6312620.657982673
2678,BOUDJELOUAH Issam,ITSFPN FUJAQNNI,40,P58,C59,152,1930758.8089592196
2679,ALLAM Lamine,FUOXW WGBWNKGIW,62,P40,C41,201,8654167.546962472
2680,TAIR Karim,WEFPF TEBUHNLHU,50,P77,C78,397,4992798.379678695
2681,BOUDJELOUAH Issam,RRZIJ TRDJKTZE,65,P67,C68,221,6004610.981351248
2682,LAIHEM Said,QRVXYO CDAAZ,20,P4,C5,142,4367123.770896486
2683,TOUATI Abderahmane,RVMSAPKI HEWXHQ,48,P22,C23,308,9733353.322091656
2684,TAIR Karim,SXZJTZF NKGEJ,35,P68,C69,33,9850452.605835015
2685,LAIHEM Said,XTSVLIM MOHJECE,65,P17,C18,108,5980669.195286355
2686,LAIHEM Said,PPVPKEKZQ YVLZWGSYR,30,P82,C83,242,1085414.7088776738
2687,TAIR Karim,QVEIPV HJUCD,58,P42,C43,142,5598872.009387363
2688,TOUATI Abderahmane,TQEDJXA MVKEMHX,39,P81,C82,24,1140260.9738558694
2689,TAIR Karim,BAEPUGEP HEGCOUPO,25,P29,C30,283,3482311.403870959
2690,TOUATI Abderahmane,UQIERTAML WKTNXGZG,23,P77,C78,380,8730036.522280557
2691,AGOUILAL riadh,TKNJIIJHI GTAEYOMA,52,P84,C85,225,8536423.893098537
2692,ALLAM Lamine,MEGIGFRTP NRRHRYLZO,49,P19,C20,348,1978480.7471838125
2693,TAIR Karim,ANSIIKV ASUHFUE,59,P31,C32,45,7170729.21688575
2694,TOUATI Abderahmane,RRQBSMXLS UTUEKAOB,54,P17,C18,42,7981400.605620374
2695,ALLAM Lamine,RCZFJAL ZPNKNNM,51,P79,C80,38,5226050.063240891
2696,TOUATI Abderahmane,QDEKL YXSSGBI,39,P15,C16,363,1316021.5375016215
2697,MOHAMMEDI Asma,JEFQRRRS AIYTMWID,37,P5,C6,168,8627528.908397332
2698,TAIR Karim,CXZDU MXBULX,41,P51,C52,275,8088196.7801965745
2699,BADREDDINE Manel,WUIDQDU SIDTKGPE,56,P47,C48,215,5974193.8726422405
2700,TAIR Karim,RJZBEY YVEBIPLBD,33,P25,C26,294,8099859.889041079
2701,TAIR Karim,DQHDE UTOSBUJW,62,P47,C48,316,6525478.0484976135
2702,AIT-AISSA Salim,DCGNW OJGOPDE,32,P79,C80,85,8101782.458769647
2703,TAIR Karim,WMKSBD FKXCJZ,46,P10,C11,76,6016469.761631422
2704,LAIHEM Said,PWQQSIOG WCBXQDVII,57,P40,C41,30,1184193.056567904
2705,BOUDJELOUAH Issam,UJFWXRIQ WXVNE,30,P53,C54,329,6853716.853111576
2706,BADREDDINE Manel,KXMLTUSKM UUKVSN,40,P5,C6,47,9820213.948112339
2707,TOUATI Abderahmane,HCTTAQY QZLVXIJ,50,P5,C6,370,9253382.039351944
2708,LAIHEM Said,ZWEVQIXX ZPDALBZB,58,P42,C43,258,7451423.780304483
2709,LAIHEM Said,OAZQLQHS HJFDZ,39,P65,C66,178,91024.89525189064
2710,BADREDDINE Manel,CYVHHKN PNVWT,40,P56,C57,263,4123759.674505541
2711,TOUATI Abderahmane,GOSIWEEVU UOQGAKYZF,31,P85,C86,225,2451975.9962378875
2712,BOUDJELOUAH Issam,LQXJQHLR TXVVC,51,P29,C30,25,3990888.727058914
2713,BOUDJELOUAH Issam,YHMGFBN AAJMYPA,54,P62,C63,165,3598603.302828967
2714,AGOUILAL riadh,IOALWY WITYPQBJ,38,P73,C74,165,9715862.730391448
2715,LAIHEM Said,GCVEP NOUQRGZJB,60,P25,C26,12,5218706.101370826
2716,AIT-AISSA Salim,ZQQYG DXJXIAO,36,P21,C22,98,4429523.134201673
2717,AIT-AISSA Salim,WIJLFK VBULSX,65,P35,C36,392,3173022.342763083
2718,MOHAMMEDI Asma,BIWILRP ZAETIG,32,P82,C83,397,5650907.444042857
2719,BADREDDINE Manel,KKWSZAHZ IAWDSJK,23,P84,C85,31,4135540.7266539084
2720,ALLAM Lamine,AEYUAD SZLTFDHA,36,P65,C66,377,1920383.7225306365
2721,AIT-AISSA Salim,RTRIGJT OFXRYHA,32,P67,C68,71,6485194.355065538
2722,TOUATI Abderahmane,CNOQQYG SAYFHZYK,47,P34,C35,54,2568258.7414933085
2723,MOHAMMEDI Asma,JLMEVDJ NDPVGTIK,58,P45,C46,167,9184087.561053663
2724,LAIHEM Said,EMSQEKYZG ZSTLLMWQM,23,P69,C70,212,4404567.493226109
2725,TAIR Karim,XESIG OHKCNI,35,P73,C74,315,1849277.9328962618
2726,AGOUILAL riadh,GAWUXHGDI KDPIGGKI,52,P37,C38,169,2260963.9689475447
2727,ALLAM Lamine,DMLAQGQ GEIPYIPIF,49,P84,C85,150,8636841.402966352
2728,MOHAMMEDI Asma,VHYJC ZALWLIC,39,P60,C61,178,4280314.85884221
2729,TAIR Karim,BPKLURTUG EGBYKDWJB,30,P60,C61,101,9192829.122341214
2730,ALLAM Lamine,DNONYP MTBDHOR,48,P72,C73,209,4912063.911712561
2731,LAIHEM Said,FPMFNZP DVBRWOOSJ,36,P62,C63,213,4762589.028907275
2732,BOUDJELOUAH Issam,ZHLAVCAI NILHXOLHW,31,P1,C2,272,5721137.2086012205
2733,MOHAMMEDI Asma,WLLKRQJI UFSHQ,57,P88,C89,388,3829712.128764132
2734,TOUATI Abderahmane,AZNEOIUCH SBYMXRXZE,60,P28,C29,7,1618571.2832130236
2735,TAIR Karim,RTVLCRBY FJBLGTGI,44,P33,C34,272,7019606.121678587
2736,ALLAM Lamine,WEJWDSY ARKNAWIR,58,P52,C53,270,8757152.117909342
2737,MOHAMMEDI Asma,RCGPPS QPTGZ,29,P39,C40,175,9513045.864214132
2738,AGOUILAL riadh,RFPPRTD ZTQZJGLID,63,P68,C69,88,7088531.996207603
2739,TOUATI Abderahmane,QAZNGNBB CCSSIZP,34,P88,C89,38,1551910.3645184904
2740,TAIR Karim,ZKRWXE UFATIVHUN,37,P6,C7,109,2563982.922663629
2741,AGOUILAL riadh,EYECQNQNE VMLGZKD,53,P15,C16,76,2254365.873271831
2742,BOUDJELOUAH Issam,HCBZP RTXNB,40,P63,C64,122,4205595.06826969
2743,MOHAMMEDI Asma,TYVMLKO TSWYYL,24,P7,C8,288,1712537.4577458694
2744,AIT-AISSA Salim,TOZGJPVOO PVCEQVI,51,P10,C11,355,349372.4733716549
2745,AGOUILAL riadh,EAWVRIKSD SVJZGT,24,P83,C84,89,1186000.4876502026
2746,AIT-AISSA Salim,LPCBTFKY RSPILTMU,58,P51,C52,199,7062370.860011487
2747,BOUDJELOUAH Issam,TVBQRSHCM PCVACYN,29,P60,C61,84,2161696.043879452
2748,AIT-AISSA Salim,FTHGINUE JCSELIM,53,P57,C58,389,2381568.780749328
2749,BADREDDINE Manel,KLJACSY KWJORNC,43,P22,C23,170,2795622.5839871634
2750,AIT-AISSA Salim,HHGOOCKF HEJCUA,51,P9,C10,256,4855500.664939228
2751,TOUATI Abderahmane,ZKPEU XLTGY,33,P56,C57,92,4201291.952104588
2752,BOUDJELOUAH Issam,OJYTSDHX ZIPWV,50,P88,C89,326,2661301.725411593
2753,AIT-AISSA Salim,QYSBRVZGZ RLCMDPQS,24,P77,C78,246,2774705.951828508
2754,LAIHEM Said,ZXDTLFGR EGKSM,54,P21,C22,251,3879489.087799501
2755,BOUDJELOUAH Issam,BLFGOH HESQRGKVJ,31,P88,C89,57,7462029.17799663
2756,LAIHEM Said,FDYLG KRUPWVCOD,62,P39,C40,333,1710507.816434863
2757,TAIR Karim,VDCAR MPOEKQ,23,P15,C16,292,959695.5744779732
2758,MOHAMMEDI Asma,ZOSYIC JZKGBXPLN,25,P11,C12,387,3064437.2484670584
2759,LAIHEM Said,YNFLTRZC XGXNQ,20,P73,C74,70,2293124.7298211167
2760,AGOUILAL riadh,BUIXIOP KJUPHPWFW,36,P6,C7,378,1001770.1819897888
2761,TOUATI Abderahmane,IONOHXCJE UUHIYZDF,42,P33,C34,400,70944.88939754838
2762,BOUDJELOUAH Issam,WHRWL YTFRF,55,P61,C62,314,3227966.349686609
2763,TAIR Karim,OSPKWMH CAWNQGXTA,28,P38,C39,300,4359878.796184164
2764,MOHAMMEDI Asma,KOKXSUBW QOQOZ,25,P69,C70,277,625273.3603994861
2765,MOHAMMEDI Asma,CQUHBZNDL RSSHXDSB,37,P2,C3,125,1240805.923337406
2766,TOUATI Abderahmane,KKRVRC YJPDYNM,43,P17,C18,76,7343179.584184502
2767,ALLAM Lamine,EZMPUTU JFVMNCQ,46,P8,C9,340,9626869.491632823
2768,MOHAMMEDI Asma,NUIWXPRG HCEUHSX,29,P53,C54,345,2567622.7971565532
2769,MOHAMMEDI Asma,RAVQS TPYHIBU,48,P4,C5,242,7266051.1760767605
2770,LAIHEM Said,TPWFR XYVTW,41,P28,C29,294,8650366.864169171
2771,MOHAMMEDI Asma,MOUIIIZ EFYJKN,32,P80,C81,320,4765758.503795192
2772,AGOUILAL riadh,VZXMBKZ JTVBC,40,P73,C74,348,414332.7014670158
2773,BADREDDINE Manel,AHQRVBQI SMUUYV,22,P65,C66,322,3742192.6763408845
2774,BOUDJELOUAH Issam,WTCYIIGF MDRMVPVF,42,P50,C51,290,4951032.7086386755
2775,AGOUILAL riadh,QXMHKYBQ FLLKD,62,P37,C38,45,3876306.1730582565
2776,BOUDJELOUAH Issam,BPDBF CHVVKOBEY,37,P66,C67,131,3188451.0092277164
2777,LAIHEM Said,OAMXULP MTJLXTBH,53,P54,C55,254,8619687.29334286
2778,TOUATI Abderahmane,DZJWFXI RXKTNQMDO,62,P78,C79,154,4813744.490641286
2779,TOUATI Abderahmane,ERMTW ONXHBI,24,P68,C69,278,7221072.593452587
2780,TOUATI Abderahmane,EFIFHVAKR XHODQONU,59,P3,C4,144,9527479.524349757
2781,BOUDJELOUAH Issam,KEGFI BYSLHQZ,38,P56,C57,189,9226566.255433274
2782,LAIHEM Said,OYMVI FOIEXRLP,58,P77,C78,115,9895505.940846521
2783,AGOUILAL riadh,ABWIYS GUWKTXJ,24,P9,C10,132,5427041.523034301
2784,AIT-AISSA Salim,YCVSJWSGM OIRWCIMGJ,29,P32,C33,160,4673792.146090069
2785,AGOUILAL riadh,UGYHHWCW RDKSPTAP,34,P75,C76,14,2294664.9842624506
2786,AGOUILAL riadh,QRQOHYU ICXODW,30,P59,C60,287,1150757.1888491807
2787,BADREDDINE Manel,AZBNZA ABCXIC,37,P7,C8,147,9215195.768264618
2788,BADREDDINE Manel,MASZVSVO OHVKVGTK,56,P80,C81,73,2935885.7062243186
2789,AGOUILAL riadh,RHXKWKRS PXZAXQKJ,30,P47,C48,53,5228449.267806471
2790,BADREDDINE Manel,RMEBBZ FFGGYYS,30,P4,C5,253,2041569.5869970492
2791,BOUDJELOUAH Issam,KISQM GOUKLC,42,P21,C22,316,236954.02512725486
2792,MOHAMMEDI Asma,IPGKKT MVLIRZQ,37,P38,C39,131,915645.168575358
2793,AGOUILAL riadh,SFTMMBQBU QDLFTA,64,P65,C66,279,6584823.03841882
2794,ALLAM Lamine,YSENH FOZTQYW,47,P26,C27,147,3734165.5916215954
2795,LAIHEM Said,UDWSCL UFNZBL,58,P0,C1,281,5134792.937964296
2796,AGOUILAL riadh,AIXEAFB YIGKB,46,P33,C34,97,7211290.447330475
2797,TAIR Karim,ZSBEUEZO HRDVYK,29,P7,C8,137,6950367.794929341
2798,BADREDDINE Manel,PLCAD JXKAJXBR,60,P75,C76,263,6553161.562054042
2799,TOUATI Abderahmane,YLJVYN ZNVFAPUOK,55,P72,C73,36,638300.0982620589
2800,TOUATI Abderahmane,XCFLYRYIK HSWNZY,48,P32,C33,215,8235424.842799325
2801,AIT-AISSA Salim,TRJKBTI WPWTF,47,P59,C60,342,8110817.91600341
2802,AGOUILAL riadh,MVKMQIFPP NMXBE,56,P30,C31,91,3077756.637530867
2803,BOUDJELOUAH Issam,HQWWTUDG UCJTOO,29,P34,C35,337,8782735.753408046
2804,BOUDJELOUAH Issam,SLOREUW UUHXNPKX,32,P40,C41,164,266607.56816941337
2805,LAIHEM Said,UYVNP TWKCQLDNL,65,P65,C66,212,2791185.2569784364
2806,LAIHEM Said,RFADVE ABPQGAJW,62,P27,C28,4,2690622.9645354245
2807,BOUDJELOUAH Issam,GMXEYOMSM JVOXIIWLH,28,P64,C65,38,8462460.412452975
2808,TOUATI Abderahmane,YYRMZDS HOZTRFV,31,P28,C29,309,4116830.2984062536
2809,AGOUILAL riadh,YMLKLRO SZXUZZ,21,P28,C29,359,3525071.3327345555
2810,TAIR Karim,MRZQUII RZQWIE,53,P15,C16,128,6865418.332248733
2811,AGOUILAL riadh,XMPBIHF OTWNBIUM,42,P80,C81,267,8848506.847525837
2812,BOUDJELOUAH Issam,PETOZK BIQFUGU,23,P5,C6,392,9734437.561127469
2813,AIT-AISSA Salim,HYGNFNGE ESNLGAEO,35,P76,C77,299,1719855.7669972363
2814,TOUATI Abderahmane,EDDAESKG ADEINTTOB,49,P46,C47,369,4648649.171056423
2815,TAIR Karim,EBVYV OFHNQ,42,P49,C50,26,5072592.0082729235
2816,MOHAMMEDI Asma,LGGDD LOINMYFWP,33,P21,C22,387,9477982.399957603
2817,LAIHEM Said,CEHYFYVP JJNRC,26,P27,C28,231,8232041.955800487
2818,MOHAMMEDI Asma,JUIYPTY XPPKEM,63,P31,C32,107,8402579.107735889
2819,TAIR Karim,JJCLSRMC MDKJK,34,P58,C59,123,8296696.654524371
2820,BOUDJELOUAH Issam,UYEHNZQVB QIEIKL,41,P76,C77,112,3728744.0250448924
2821,TAIR Karim,KMVLSIVDY SWUIBAZ,50,P28,C29,87,9275707.236626312
2822,BADREDDINE Manel,ZUXPL GZJJYL,52,P81,C82,191,8718823.307006046
2823,LAIHEM Said,JLFYZXRPP UXQBWQ,27,P38,C39,202,772177.7642089612
2824,MOHAMMEDI Asma,LSAVXTFJ DDEUYFOM,29,P43,C44,67,4187650.2347865812
2825,AGOUILAL riadh,CSWCOV TSPVLCIQO,49,P63,C64,205,9895253.10100014
2826,BADREDDINE Manel,CABBXSP FWGXWZ,20,P5,C6,191,8197784.891638994
2827,TOUATI Abderahmane,ZYTJC EYJTZKJ,30,P11,C12,264,285823.81147005135
2828,TAIR Karim,DZCTAANAN QWIJE,32,P31,C32,149,3461938.7111182385
2829,MOHAMMEDI Asma,HFYPRKXGY DKBJEUIA,34,P64,C65,220,7178207.031604823
2830,MOHAMMEDI Asma,VCLOHNOA UKMQYRL,50,P63,C64,49,9127600.382637275
2831,BOUDJELOUAH Issam,IVANZZGV OKVXNU,25,P86,C87,240,7930941.635282656
2832,LAIHEM Said,KAVLJCJW HTEOQTK,48,P68,C69,93,2061268.35161908
2833,ALLAM Lamine,WCOBCMENE NCTSQDLN,51,P35,C36,92,2184807.2583404896
2834,TAIR Karim,YRNXP TFAPDYRS,60,P18,C19,96,5570741.005484952
2835,TAIR Karim,QMLWDSWR SCEHMKD,33,P7,C8,80,7293847.325161909
2836,ALLAM Lamine,ONMHNG CBQHE,20,P6,C7,175,5032374.038537455
2837,TAIR Karim,VGGND JUIVQPW,22,P59,C60,32,7565953.259189854
2838,TOUATI Abderahmane,WLVRVDMV ERGWFV,46,P13,C14,210,5743765.267858
2839,BADREDDINE Manel,NODERDL EJYKS,22,P70,C71,64,285673.8207722862
2840,BADREDDINE Manel,FPCAOIEIZ AAQLRTXP,63,P35,C36,286,1220818.9004190036
2841,TOUATI Abderahmane,DIVPNJQU OCIVFF,38,P66,C67,231,5089240.839229994
2842,MOHAMMEDI Asma,IXUACPRN ZODJOXLMB,57,P68,C69,292,6430733.920389105
2843,ALLAM Lamine,AKFGUMPBD KJPKY,33,P55,C56,297,6341630.121772058
2844,ALLAM Lamine,NQSVNAR KDBHYF,38,P70,C71,122,6264492.693020329
2845,ALLAM Lamine,BDOBU LHXCQ,35,P64,C65,156,904449.0776127065
2846,AIT-AISSA Salim,TONKM IIKGNSJQ,50,P62,C63,33,3190945.2324763355
2847,TAIR Karim,GSVNGLF KUGPCZTIT,49,P34,C35,97,6062739.454465868
2848,BADREDDINE Manel,JQYUKZVPA YGPPPQ,46,P90,C91,116,1725391.4709625726
2849,TOUATI Abderahmane,KOLYO VDWREFU,34,P3,C4,292,7612209.0827899575
2850,ALLAM Lamine,KPSDXUF MHHCWH,44,P46,C47,138,8646658.334988244
2851,TAIR Karim,ZUJFCTOBS FSHQP,32,P10,C11,372,4589926.199127933
2852,BADREDDINE Manel,MOEEJMLR HUWFXGJW,25,P78,C79,9,2006208.1285538098
2853,BADREDDINE Manel,YOFQVBFB XZVHKNJYQ,48,P78,C79,62,4654068.52211878
2854,AIT-AISSA Salim,KKVGGCGX ARSHABLZC,36,P78,C79,186,2234441.3081095796
2855,BADREDDINE Manel,IBHQHE KGMCU,22,P22,C23,96,6962994.209929897
2856,LAIHEM Said,JWAWJPRU FJKHQSF,56,P36,C37,388,1290812.4954525647
2857,LAIHEM Said,FJHRLAO QTSDCH,41,P88,C89,202,4116837.108744776
2858,BADREDDINE Manel,DSSTMRE XFCCY,45,P45,C46,14,5139744.258199358
2859,MOHAMMEDI Asma,ZKEWKRG FFUSDOZL,29,P19,C20,335,3186745.567326832
2860,TAIR Karim,KWCGJRYTI WYNEKBJY,45,P40,C41,43,5134257.789544492
2861,TAIR Karim,QCYKDURIP QSWTXYECQ,45,P13,C14,290,630837.791040308
2862,LAIHEM Said,SGYEFBW MGNWJZT,28,P86,C87,18,1956547.7721771367
2863,LAIHEM Said,AQMDAY WOPKM,54,P44,C45,317,6998216.895872978
2864,TAIR Karim,ZOBDIOQ AKKZJD,60,P49,C50,215,195952.3132400519
2865,LAIHEM Said,VHKJXNPE OVDBNYQK,41,P89,C90,160,9949801.145711238
2866,TOUATI Abderahmane,WDYHGAATQ GUCQR,42,P49,C50,305,4164383.12553336
2867,TAIR Karim,DPCNBI CQCJZJVH,22,P78,C79,135,725059.39685158
2868,TOUATI Abderahmane,QRCMU NFYPLWRX,20,P38,C39,356,5139042.294890547
2869,BADREDDINE Manel,XKRHDD VQIATVLO,41,P45,C46,329,1048460.7077365463
2870,ALLAM Lamine,GBWKO WEQXTHH,60,P8,C9,15,7750092.805416919
2871,LAIHEM Said,EPFPMTSB OLUTOM,50,P38,C39,358,9450909.369778339
2872,AGOUILAL riadh,BUHLYKQO NACAX,64,P51,C52,254,8602759.601587007
2873,BADREDDINE Manel,PDOBOD CETKYM,39,P30,C31,94,9639368.421514865
2874,TOUATI Abderahmane,OQUTEQUB OQAQEMZ,42,P38,C39,57,5702671.368987112
2875,TOUATI Abderahmane,QBPADFXE GXCCP,48,P63,C64,318,4150678.421261
2876,ALLAM Lamine,KSONGBQ NWRMSUG,64,P23,C24,107,572005.8912085284
2877,AGOUILAL riadh,YYGCAQZ XYOGCG,20,P8,C9,47,4757953.052556467
2878,TAIR Karim,GPNDDD BFZMMKPJ,31,P53,C54,158,3590797.137524175
2879,AGOUILAL riadh,UYVDNGLD WVHBCB,33,P16,C17,268,5319609.240728253
2880,BOUDJELOUAH Issam,EEKNMS VCXYNFP,51,P87,C88,101,9933274.67067471
2881,ALLAM Lamine,XCXANTB DULTHBJR,63,P50,C51,228,9570706.23220252
2882,MOHAMMEDI Asma,ZPGBTI MNLYVQUN,58,P89,C90,213,9582349.897967566
2883,MOHAMMEDI Asma,RNRHTYAPO HNNDGPFGH,25,P60,C61,78,9984191.21342334
2884,ALLAM Lamine,RYCTF FFGWD,21,P65,C66,64,5797054.518614663
